transaction_ID,transaction_date,Year_Birth,Marital_Status,MntFruits,Education,Income,children_categorical,teen_categorical,income_standardize,maritalstat_categorical,spender_class
6653,7/30/12,1970,Married,0,PhD,55158,1,1,0.332538729,1,0
6181,7/31/12,1950,Not Married,21,2n Cycle,52203,0,0,0.314146651,0,0
4692,8/1/12,1976,Married,0,Graduation,7500,1,0,0.035912789,1,0
2611,8/1/12,1959,Not Married,55,Master,82576,0,0,0.503189827,0,1
10001,8/1/12,1985,Not Married,17,2n Cycle,7500,1,0,0.035912789,0,0
7118,8/1/12,1957,Married,80,Graduation,73803,0,1,0.448586206,1,1
8370,8/2/12,1976,Not Married,97,2n Cycle,75484,0,1,0.45904884,0,1
5117,8/2/12,1963,Married,151,2n Cycle,32632,0,0,0.192335701,1,1
7990,8/2/12,1947,Married,1,Graduation,27469,0,0,0.160200912,1,0
3277,8/3/12,1955,Not Married,3,Graduation,49431,0,1,0.296893575,0,0
2223,8/3/12,1965,Not Married,33,2n Cycle,64176,0,1,0.388667243,0,1
9094,8/3/12,1955,Married,15,2n Cycle,62972,0,1,0.381173483,1,0
9847,8/3/12,1955,Married,15,2n Cycle,62972,0,1,0.381173483,1,0
4915,8/3/12,1956,Married,72,2n Cycle,53230,0,1,0.320538754,1,1
564,8/4/12,1981,Not Married,8,PhD,56937,1,0,0.34361132,0,0
1501,8/4/12,1982,Married,16,PhD,160803,0,0,0.990078859,1,0
4817,8/4/12,1956,Not Married,2,Graduation,22304,0,0,0.128053676,0,0
1291,8/4/12,1978,Not Married,9,PhD,27683,1,0,0.16153286,0,0
10542,8/5/12,1968,Married,4,PhD,36778,1,1,0.218140626,1,0
9135,8/6/12,1950,Not Married,2,Graduation,27203,1,1,0.158545314,0,0
10591,8/6/12,1969,Not Married,10,Graduation,43638,0,1,0.260837633,0,0
2715,8/6/12,1966,Not Married,3,Master,29435,1,1,0.172437402,0,0
610,8/7/12,1953,Not Married,4,PhD,53593,1,1,0.322798085,0,0
10827,8/7/12,1967,Married,3,PhD,36947,1,1,0.219192491,1,0
5393,8/7/12,1977,Not Married,0,Graduation,23763,1,0,0.13713457,0,0
3262,8/7/12,1958,Not Married,112,Graduation,68281,0,0,0.414216983,0,1
9360,8/8/12,1982,Married,2,Graduation,37040,0,0,0.219771328,1,0
5342,8/8/12,1976,Not Married,1,Basic,9548,1,0,0.04865965,0,0
460,8/8/12,1972,Married,86,PhD,79930,0,0,0.486720982,1,1
6749,8/8/12,1966,Not Married,47,Graduation,86358,1,1,0.526729198,0,1
8876,8/8/12,1963,Not Married,0,PhD,33629,1,1,0.198541082,0,0
942,8/8/12,1982,Not Married,13,Graduation,39660,1,0,0.236078348,0,0
1891,8/8/12,1980,Not Married,50,Master,78789,0,0,0.479619337,0,1
5564,8/9/12,1969,Not Married,133,Graduation,62882,0,1,0.380613318,0,1
3698,8/9/12,1983,Not Married,185,Graduation,78687,0,0,0.478984483,0,1
10172,8/10/12,1988,Not Married,19,Graduation,68655,0,0,0.416544779,0,0
6729,8/10/12,1988,Not Married,19,Graduation,68655,0,0,0.416544779,0,0
4114,8/11/12,1964,Married,37,Master,79143,0,0,0.481822652,1,1
4012,8/11/12,1972,Not Married,12,PhD,62220,0,1,0.376492995,0,0
1092,8/11/12,1980,Married,129,Graduation,61014,0,1,0.368986786,1,1
4702,8/12/12,1964,Not Married,155,Graduation,61839,0,0,0.37412163,0,1
6661,8/12/12,1974,Married,80,Graduation,67445,0,1,0.409013674,1,1
7922,8/12/12,1951,Not Married,0,PhD,64950,0,1,0.393484661,0,0
5462,8/12/12,1974,Married,80,Graduation,67445,0,1,0.409013674,1,1
10897,8/12/12,1974,Married,80,Graduation,67445,0,1,0.409013674,1,1
4188,8/13/12,1957,Not Married,5,Graduation,36864,0,1,0.218675895,0,0
7919,8/13/12,1976,Not Married,105,PhD,72335,0,0,0.439449296,0,1
9478,8/14/12,1985,Not Married,64,Graduation,66503,1,0,0.403150616,0,1
642,8/14/12,1980,Married,3,Basic,16005,1,0,0.088848363,1,0
3916,8/15/12,1971,Not Married,8,PhD,49269,1,0,0.295885278,0,0
2072,8/16/12,1969,Not Married,10,PhD,53374,0,1,0.321435018,0,0
1045,8/16/12,1965,Not Married,10,Graduation,52117,0,1,0.313611383,0,0
3766,8/16/12,1959,Not Married,71,Master,33051,0,0,0.194943579,0,1
6439,8/17/12,1958,Married,0,Graduation,61074,0,1,0.36936023,1,0
3537,8/17/12,1981,Not Married,3,Graduation,31089,1,0,0.182731986,0,0
10862,8/17/12,1960,Married,8,Master,30522,0,1,0.179202948,1,0
2134,8/17/12,1952,Not Married,5,Graduation,53700,0,1,0.323464059,0,0
3340,8/17/12,1977,Married,15,Graduation,42014,1,0,0.25072977,1,0
8685,8/17/12,1977,Married,15,Graduation,42014,1,0,0.25072977,1,0
3507,8/17/12,1970,Not Married,161,Graduation,76467,1,0,0.465167085,0,1
8080,8/17/12,1986,Not Married,1,Graduation,26816,0,0,0.156136606,0,0
10703,8/18/12,1975,Not Married,0,Master,46098,1,1,0.276148805,0,0
9516,8/18/12,1971,Not Married,54,2n Cycle,49118,0,0,0.294945446,0,1
2535,8/18/12,1978,Married,0,Master,88097,1,0,0.537552827,1,0
9,8/18/12,1975,Not Married,0,Master,46098,1,1,0.276148805,0,0
2804,8/18/12,1975,Not Married,0,Master,46098,1,1,0.276148805,0,0
8346,8/19/12,1974,Not Married,15,Graduation,32233,1,0,0.189852303,0,0
4764,8/19/12,1952,Not Married,12,Master,40442,1,1,0.240945558,0,0
4148,8/20/12,1972,Married,24,Graduation,38988,1,1,0.231895784,1,0
3584,8/20/12,1955,Not Married,26,PhD,49667,0,0,0.298362452,0,0
8395,8/20/12,1961,Not Married,37,Graduation,82014,0,0,0.499691909,0,1
10704,8/21/12,1969,Not Married,0,Graduation,54803,0,1,0.33032919,0,0
9817,8/21/12,1970,Not Married,10,Master,44802,0,0,0.268082431,0,0
5885,8/22/12,1973,Married,3,2n Cycle,35688,1,1,0.211356408,1,0
3310,8/22/12,1973,Married,3,2n Cycle,35688,1,1,0.211356408,1,0
7422,8/22/12,1987,Not Married,44,Graduation,46923,1,0,0.281283649,0,1
8707,8/22/12,1956,Married,42,Graduation,79456,0,0,0.483770781,1,1
6905,8/22/12,1994,Not Married,45,Graduation,80685,0,0,0.491420142,0,1
6263,8/22/12,1968,Not Married,9,Graduation,35322,1,1,0.209078404,0,0
10395,8/22/12,1986,Not Married,45,Basic,8940,1,0,0.044875426,0,1
5831,8/22/12,1967,Married,50,Graduation,77870,0,1,0.473899432,1,1
2926,8/23/12,1952,Not Married,0,Master,55951,0,1,0.337474404,0,0
5140,8/24/12,1985,Married,0,PhD,64355,1,0,0.389781349,1,0
10176,8/24/12,1968,Not Married,0,Graduation,57107,0,1,0.344669409,0,0
5236,8/25/12,1979,Not Married,0,Graduation,77568,0,1,0.472019768,0,0
4094,8/25/12,1961,Married,2,Graduation,60544,1,1,0.366061481,1,0
8588,8/25/12,1961,Married,2,Graduation,60544,1,1,0.366061481,1,0
8278,8/26/12,1990,Married,83,PhD,74214,0,0,0.451144292,1,1
195,8/26/12,1972,Not Married,17,Graduation,38808,1,0,0.230775455,0,0
4643,8/26/12,1973,Married,26,Graduation,27803,1,0,0.162279746,1,0
1859,8/27/12,1972,Married,111,Master,75251,0,0,0.457598636,1,1
6728,8/27/12,1985,Not Married,0,Graduation,29103,1,0,0.170371016,0,0
10398,8/27/12,1981,Not Married,6,2n Cycle,24336,1,0,0.140700953,0,0
6875,8/28/12,1965,Not Married,13,PhD,32727,0,0,0.192926986,0,0
1513,8/28/12,1979,Not Married,21,2n Cycle,60839,1,1,0.367897577,0,0
3332,8/29/12,1985,Not Married,4,Graduation,29760,1,0,0.174460219,0,0
10992,8/29/12,1967,Not Married,28,Graduation,75702,1,1,0.460405684,0,1
9503,8/29/12,1980,Not Married,33,Graduation,28071,0,0,0.163947793,0,1
3846,8/29/12,1974,Married,5,Graduation,42557,0,1,0.254109431,1,0
8310,8/29/12,1964,Not Married,126,Graduation,68142,0,1,0.41335184,0,1
10710,8/29/12,1979,Married,2,Graduation,7500,0,1,0.035912789,1,0
7433,8/29/12,1985,Not Married,4,Graduation,29760,1,0,0.174460219,0,0
4122,8/29/12,1975,Married,23,Graduation,79205,0,0,0.482208543,1,0
2066,8/30/12,1949,Not Married,0,Graduation,38823,0,1,0.230868816,0,0
3645,8/30/12,1972,Not Married,3,PhD,27213,1,0,0.158607555,0,0
4910,8/30/12,1967,Not Married,134,Graduation,68743,0,0,0.417092496,0,1
7532,8/30/12,1980,Married,2,Graduation,43586,0,1,0.260513982,1,0
4939,8/31/12,1946,Not Married,5,Graduation,37760,0,0,0.224252647,0,0
8867,8/31/12,1988,Married,134,PhD,67546,0,0,0.409642304,1,1
8652,8/31/12,1946,Not Married,5,Graduation,37760,0,0,0.224252647,0,0
6354,8/31/12,1984,Not Married,2,Graduation,15345,1,0,0.084740488,0,0
2453,8/31/12,1960,Not Married,28,Graduation,62807,0,1,0.380146514,0,1
5871,8/31/12,1979,Not Married,28,Master,24401,0,0,0.141105516,0,1
7378,8/31/12,1981,Not Married,5,Master,42021,1,0,0.250773339,0,0
7787,8/31/12,1960,Not Married,28,Graduation,62807,0,1,0.380146514,0,1
5589,8/31/12,1964,Not Married,0,Graduation,51983,0,1,0.312777359,0,0
10069,8/31/12,1988,Not Married,7,Basic,13724,1,0,0.074651297,0,0
8852,8/31/12,1976,Married,126,Graduation,61064,0,1,0.369297989,1,1
2747,8/31/12,1988,Married,134,PhD,67546,0,0,0.409642304,1,1
4070,9/1/12,1969,Married,24,PhD,94871,0,1,0.579714565,1,0
8091,9/2/12,1956,Married,184,Graduation,63943,0,1,0.387217039,1,1
10971,9/3/12,1977,Not Married,8,Graduation,37774,1,0,0.224339784,0,0
6856,9/3/12,1979,Not Married,0,Graduation,21645,1,0,0.123952025,0,0
1631,9/3/12,1965,Not Married,63,PhD,65220,0,0,0.395165155,0,1
5524,9/4/12,1957,Not Married,88,Graduation,58138,0,0,0.351086409,0,1
2674,9/4/12,1958,Not Married,10,Master,75154,0,1,0.456994903,0,0
3745,9/4/12,1988,Married,36,2n Cycle,23331,1,0,0.134445779,1,1
1440,9/4/12,1978,Not Married,17,2n Cycle,52513,0,0,0.316076108,0,0
1911,9/5/12,1987,Not Married,97,Graduation,67430,0,0,0.408920313,0,1
